Geneid	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_01_S288C_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_03_S288C_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_02_S288C_2_Aligned.sortedByCoord.out.bam
YDR445C	1	1	2
tK(CUU)D2	0	0	0
YDR446W	4	1	0
YDR447C	5975	5639	5787
YDR448W	416	408	358
YDR449C	573	573	545
YDR450W	12280	10629	11369
YDR451C	84	94	96
YDR452W	1973	1877	1850
YDR453C	762	643	676
YDR454C	2129	1960	2054
YDR455C	0	1	2
YDR456W	1152	1145	992
YDR457W	1910	2050	1893
YDR458C	1000	763	827
YDR459C	447	378	382
YDR460W	632	536	563
YDR461W	1304	1298	1228
YDR461C-A	141	128	117
YDR462W	602	516	505
YDR463W	1343	1058	1183
YDR464W	875	645	727
YDR464C-A	0	0	0
YDR465C	1620	1520	1623
YDR466W	823	681	648
YDR467C	24	23	17
YDR468C	730	565	632
YDR469W	435	392	324
YDR470C	469	453	480
YDR471W	4941	4274	4395
snR13	262	228	234
YDR472W	721	600	602
YDR473C	543	463	434
YDR475C	1100	947	949
YDR476C	590	542	529
YDR477W	1975	1458	1659
YDR478W	186	175	188
YDR479C	1135	968	939
YDR480W	318	289	263
YDR481C	1849	1620	1534
YDR482C	385	286	297
YDR483W	4146	3887	3715
YDR484W	717	577	598
YDR485C	944	930	812
YDR486C	760	680	641
YDR487C	2162	1931	1921
YDR488C	159	176	147
YDR489W	348	296	297
YDR490C	792	632	575
YDR491C	2	7	4
YDR492W	837	760	777
YDR493W	234	209	218
YDR494W	1018	892	938
YDR495C	523	470	495
YDR496C	2595	2564	2514
YDR497C	2512	2215	2186
YDR498C	764	533	605
YDR499W	305	267	289
YDR500C	7583	6238	6406
YDR501W	197	175	184
YDR502C	1250	1121	1327
YDR503C	246	202	197
YDR504C	52	40	35
YDR505C	984	942	874
YDR506C	191	215	187
tL(CAA)D	0	0	0
YDR507C	711	664	655
YDR508C	3646	3013	3024
YDR509W	0	0	0
YDR510W	1730	1243	1520
YDR510C-A	1	0	3
YDR511W	257	226	194
YDR512C	399	345	337
YDR513W	2205	1886	1820
YDR514C	259	220	232
YDR515W	299	261	238
YDR516C	10564	9116	8875
YDR517W	1698	1724	1607
YDR518W	605	607	575
YDR519W	522	442	462
YDR520C	454	427	406
YDR521W	0	2	0
YDR522C	1	0	1
YDR523C	48	37	37
YDR524C	545	504	516
YDR524W-C	5	1	0
YDR524C-B	8824	9648	8174
YDR524C-A	4	1	6
YDR525W	1	0	1
YDR525W-A	102	91	120
YDR526C	3	3	1
YDR527W	883	782	842
snR84	88	84	105
YDR528W	23	14	14
YDR529C	1909	1584	1580
YDR530C	959	838	785
YDR531W	928	890	860
YDR532C	369	311	310
YDR533C	443	414	422
YDR534C	80	54	66
YDR535C	21	23	17
YDR536W	18	15	16
YDR537C	11	2	2
YDR538W	369	380	357
YDR539W	779	791	717
YDR540C	78	80	83
YDR541C	216	250	214
YDR542W	1	0	4
YDR543C	0	0	0
YDR544C	1	0	0
YDR545W	3	0	0
YDR545C-A	0	0	0
YOL166W-A	0	0	0
YOL166C	0	0	0
YOL165C	0	2	1
YOL164W-A	0	0	0
YOL164W	366	359	368
YOL163W	23	19	20
YOL162W	10	17	14
YOL161C	0	0	0
YOL160W	3	7	4
YOL159C-A	102	100	105
YOL159C	228	161	191
YOL158C	1878	1798	1969
YOL157C	75	58	46
YOL156W	5	5	6
YOL155W-A	0	0	0
YOL155C	293	244	262
YOL154W	127	107	93
YOL152W	75	69	48
YOL151W	489	401	402
YOL150C	14	20	13
YOL149W	563	472	476
YOL148C	517	381	382
YOL147C	322	326	334
YOL146W	183	142	147
YOL145C	2154	1895	1782
YOL144W	673	515	584
YOL143C	2974	2465	2438
YOL142W	696	592	701
YOL141W	64	85	76
YOL140W	390	391	396
