Geneid	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_01_S288C_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_03_S288C_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_02_S288C_2_Aligned.sortedByCoord.out.bam
YPL003W	1098	908	900
YPL002C	406	327	390
YPL001W	358	326	344
YPR001W	68	55	55
YPR002W	128	97	84
tF(GAA)P1	2	4	8
YPR002C-A	2	1	2
YPR003C	483	431	453
YPR004C	1176	1031	1046
YPR005C	289	197	240
YPR006C	183	154	172
YPR007C	35	34	28
tG(GCC)P1	0	2	1
YPR008W	1577	1433	1315
YPR009W	454	376	365
YPR010C	4156	4204	4210
tK(CUU)P	2	2	2
YPR010C-A	376	280	276
YPR011C	498	427	435
YPR012W	10	9	6
YPR013C	348	393	350
YPR014C	0	0	0
YPR015C	52	38	41
YPR016C	3132	2849	2938
YPR016W-A	0	1	0
YPR017C	317	277	283
YPR018W	433	323	318
YPR019W	835	737	719
YPR020W	491	407	459
YPR021C	467	444	431
YPR022C	936	693	741
YPR023C	1625	1257	1268
YPR024W	1936	1696	1676
YPR025C	667	569	543
YPR026W	812	665	628
YPR027C	4	6	1
tF(GAA)P2	0	0	2
YPR028W	4230	4065	3991
YPR029C	1732	1675	1619
YPR030W	1431	1066	1079
YPR031W	304	302	289
YPR032W	576	508	480
YPR033C	3130	2997	3104
YPR034W	1326	1092	1109
YPR035W	12412	10913	10226
YPR036W	3192	3033	2872
YPR036W-A	13448	10889	10745
YPR037C	467	408	444
YPR038W	2	4	7
YPR039W	1	1	1
YPR040W	494	371	504
YPR041W	3553	3059	3125
YPR042C	683	598	557
YPR043W	8335	7268	7627
YPR044C	4	1	2
YPR045C	1005	868	865
YPR046W	144	124	84
YPR047W	370	311	307
YPR048W	435	377	395
YPR049C	372	341	334
YPR050C	10	10	20
YPR051W	393	298	329
YPR052C	683	653	669
YPR053C	205	194	168
YPR054W	17	15	14
YPR055W	657	652	595
YPR056W	544	463	414
YPR057W	472	414	421
YPR058W	815	788	711
YPR059C	7	7	6
YPR060C	822	705	765
YPR061C	274	221	189
YPR062W	1844	1583	1633
YPR063C	1518	1388	1361
YPR064W	9	9	5
YPR065W	579	411	503
YPR066W	177	126	130
YPR067W	484	422	407
YPR068C	203	158	163
YPR069C	2748	2838	2888
YPR070W	600	534	496
YPR071W	183	180	156
tS(UGA)P	1	2	0
YPR072W	1830	1707	1568
YPR073C	794	717	700
YPR074C	7287	6782	6644
YPR074W-A	2	0	3
YPR075C	1433	1230	1303
YPR076W	0	4	2
YPR077C	2	2	1
YPR078C	4	1	3
YPR079W	527	495	497
YPR080W	25023	23171	25841
YPR081C	472	434	446
YPR082C	286	247	277
YPR083W	245	210	206
YPR084W	416	391	402
YPR085C	390	355	342
YPR086W	1375	1228	1198
YPR087W	5	13	4
YPR088C	2104	1954	1887
YPR089W	1209	1199	1109
YPR091C	1611	1558	1470
YPR092W	4	3	3
snR51	66	62	83
snR70	74	83	69
snR41	66	58	68
YPR093C	207	193	159
YPR094W	119	124	103
YPR095C	573	477	459
YPR096C	15	13	12
YPR097W	902	843	846
YPR098C	610	495	553
YPR099C	24	18	15
YPR100W	507	457	456
YPR101W	376	298	326
YPR102C	8201	7148	7949
YPR103W	3222	2813	2769
YPR104C	509	474	472
YPR105C	916	773	786
YPR106W	529	524	515
YPR107C	514	422	450
YPR108W	2571	2208	2214
YPR108W-A	0	2	4
tT(UGU)P	0	0	0
YPR109W	406	449	393
YPR110C	3100	2964	3018
YPR111W	423	359	346
YPR112C	1689	1604	1705
YPR113W	2131	2121	1926
YPR114W	1261	987	1114
YPR115W	1208	1107	1028
YPR116W	117	96	96
YPR117W	1075	1027	1017
YPR118W	1282	1243	1222
tK(UUU)P	11	8	8
YPR119W	222	172	218
YPR120C	225	176	193
tC(GCA)P2	0	0	0
YPR121W	222	177	207
YPR122W	999	943	977
YPR123C	5	7	5
YPR124W	1210	1146	1176
YPR125W	844	752	786
YPR126C	1	1	2
YPR127W	1197	1076	1140
YPR128C	620	651	579
YPR129W	1053	849	919
YPR130C	13	10	6
YPR131C	507	469	418
YPR132W	12424	11049	12028
YPR133C	1326	1105	1118
YPR133W-A	670	563	567
YPR134W	348	304	324
YPR135W	408	347	345
YPR136C	1	0	0
YPR137W	387	335	339
YPR137C-B	0	0	1
YPR137C-A	0	0	0
tN(GUU)P	12	12	14
YPR138C	311	296	265
YPR139C	722	609	595
YPR140W	653	498	545
YPR141C	316	315	315
YPR142C	0	2	2
YPR143W	1048	851	878
tI(AAU)P1	0	0	0
YPR144C	995	911	946
snR45	86	70	78
YPR145W	6645	6346	5744
YPR145C-A	159	188	203
YPR146C	81	91	80
YPR147C	703	650	608
YPR148C	2527	2162	2221
YPR149W	8109	7222	7226
YPR150W	27	15	18
YPR151C	29	23	20
YPR152C	300	249	271
YPR153W	74	49	62
YPR154W	907	625	745
YPR155C	813	679	723
YPR156C	2430	2295	2297
YPR157W	499	502	456
YPR158W	455	421	456
YPR158W-A	0	0	0
YPR158W-B	12	16	17
YPR158C-D	98	107	113
YPR158C-C	0	0	0
tA(AGC)P	0	0	0
YPR159W	2965	2649	2726
YPR159C-A	12	12	6
tG(GCC)P2	1	0	2
YPR160W	6663	6481	5835
YPR160W-A	0	0	0
YPR160C-A	9	14	12
YPR161C	875	784	792
YPR162C	459	395	398
YPR163C	6424	5931	5984
YPR164W	611	585	584
YPR165W	3951	3357	3491
YPR166C	267	252	219
YPR167C	209	204	187
YPR168W	159	148	134
YPR169W	1354	1198	1228
tI(AAU)P2	0	0	0
YPR170C	4	6	4
YPR170W-B	1223	1105	1065
YPR169W-A	3	4	4
YPR170W-A	2	2	3
YPR171W	559	462	512
YPR172W	579	487	513
YPR173C	932	897	852
YPR174C	164	148	135
YPR175W	219	229	240
YPR176C	706	671	643
YPR177C	2	1	3
YPR178W	442	390	400
YPR179C	768	674	596
YPR180W	434	392	407
YPR181C	2605	2389	2546
YPR182W	233	243	201
YPR183W	1678	1359	1661
YPR184W	2179	1984	1781
YPR185W	653	570	544
YPR186C	148	116	98
YPR187W	1461	1210	1198
YPR188C	434	364	331
YPR189W	906	877	885
YPR190C	539	495	497
YPR191W	2382	1910	1828
YPR192W	30	30	30
YPR193C	36	35	27
YPR194C	98	91	82
YPR195C	5	4	7
YPR196W	157	157	136
YPR197C	2	2	1
YPR198W	768	650	687
YPR199C	679	521	545
YPR200C	39	33	36
YPR201W	51	61	41
YPR202W	8	8	4
YPR203W	0	0	0
YPR204W	13	16	4
YPR204C-A	0	0	0
YML133C	4	5	3
YML133W-B	0	0	0
YML133W-A	0	0	0
YML132W	30	34	27
YML131W	398	328	301
YML130C	1473	1311	1365
YML129C	565	492	479
YML128C	7833	6811	6619
YML127W	1225	1075	1016
YML126C	2582	2441	2530
YML125C	1151	1037	1086
YML124C	1634	1535	1514
YML123C	788	746	849
YML122C	4	6	3
YML121W	687	611	563
YML120C	2796	2441	2245
YML119W	417	413	389
YML118W	160	155	128
YML117W	2615	2262	2260
YML116W-A	145	166	148
YML116W	458	427	401
YML115C	1309	1198	1230
YML114C	781	641	691
YML113W	209	216	193
YML112W	410	322	359
YML111W	653	517	570
YML110C	2527	2171	2204
YML109W	391	348	314
YML108W	355	362	349
YML107C	427	375	408
YML106W	2371	2262	2192
YML105C	1246	987	1084
YML104C	433	393	394
YML103C	1871	1912	1799
snR85	33	42	33
YML102W	496	497	457
YML101C-A	13	5	9
YML101C	124	87	93
YML100W-A	5	10	14
YML100W	14378	12311	12258
YML099W-A	10	12	8
YML099C	759	667	691
YML098W	435	362	374
YML097C	602	583	587
YML096W	535	544	489
YML095C	159	141	137
YML094C-A	4	5	3
YML094W	629	565	577
YML093W	1595	1532	1513
YML092C	2209	1977	1893
YML091C	1551	1408	1278
YML090W	0	0	1
YML089C	5	7	0
ZOD1	0	0	0
YML088W	551	524	489
YML087C	59	34	39
YML086C	1696	1243	1459
YML085C	3158	2716	2979
YML084W	12	9	11
YML083C	9	6	3
YML082W	688	446	589
YML081C-A	582	503	527
YML081W	921	806	821
YML080W	240	249	265
YML079W	677	603	628
YML078W	1303	917	1181
YML077W	278	192	243
YML076C	570	522	465
YML075C	1404	1085	1203
YML074C	5291	4676	4826
YML073C	9699	7679	9657
YML072C	3476	3318	3291
YML071C	826	761	727
tR(UCU)M2	1	0	0
YML070W	2538	2393	2165
YML069W	2203	1893	1838
YML068W	348	355	324
YML067C	1096	1034	1034
YML066C	7	4	2
YML065W	546	570	525
YML064C	453	355	390
YML063W	20864	18521	18600
YML062C	729	664	660
YML061C	477	477	487
YML060W	232	158	200
YML059C	576	531	540
YML058W-A	97	80	82
YML058W	2735	2747	2607
YML057C-A	4	1	0
YML057W	1562	1391	1450
YML056C	5994	5963	5760
snR54	40	40	46
YML055W	472	445	410
YML054C	551	473	480
YML054C-A	0	0	1
tY(GUA)M1	4	1	0
YML053C	531	413	428
YML052W	858	733	696
YML051W	699	678	632
YML050W	179	169	144
YML049C	973	820	835
YML048W	3571	3168	3000
YML047W-A	4	3	7
YML047C	0	3	3
YML046W	561	576	532
tG(GCC)M	0	0	1
YML045W	2	1	1
YML045W-A	0	0	0
YML043C	88	80	81
YML042W	253	250	222
YML041C	456	403	440
tP(UGG)M	2	2	3
YML040W	0	0	0
YML039W	0	2	3
YML038C	884	821	793
YML037C	91	92	91
YML036W	258	257	202
YML035C	1357	1283	1259
YML034C-A	0	1	0
YML034W	1135	958	1055
YML032C	776	600	656
YML031C-A	0	1	1
YML031W	927	759	814
YML030W	817	696	679
YML029W	602	582	510
YML028W	13293	12704	12811
YML027W	80	58	61
YML026C	10365	8544	8928
YML025C	617	431	511
YML024W	10354	9802	10034
YML023C	571	537	564
YML022W	1854	1707	1782
YML021C	305	277	258
YML020W	515	485	402
YML019W	699	685	675
YML018C	285	234	290
YML017W	510	453	448
YML016C	1667	1378	1379
YML015C	403	389	379
YML014W	388	376	373
YML013W	1028	856	870
YML012C-A	4	8	5
YML012W	2485	2201	2345
YML011C	243	217	224
YML010W	2021	1985	1855
YML009W-B	155	155	137
YML009C-A	1	1	0
YML009C	320	259	260
YML008C	5177	3451	3791
YML007C-A	12	19	12
YML007W	2201	1916	1955
YML006C	695	461	571
tS(AGA)M	0	0	1
YML005W	398	377	351
YML004C	3159	2973	2898
YML003W	164	168	141
YML002W	435	378	355
YML001W	1053	852	919
YMR001C	579	462	457
YMR001C-A	28	29	25
YMR002W	2033	1693	1599
YMR003W	155	175	171
YMR004W	1011	835	844
YMR005W	975	919	925
YMR006C	1049	1008	986
YMR007W	9	4	3
YMR008C	2192	1877	2183
YMR009W	825	691	660
YMR010W	644	576	578
YMR011W	39251	29830	30253
tE(UUC)M	0	0	0
YMR012W	3836	3683	3602
YMR013C	410	366	360
YMR013C-A	0	0	0
snR78	13	12	8
snR77	24	41	24
snR76	61	49	51
snR75	10	5	5
snR74	3	3	3
snR73	2	0	2
YMR013W-A	0	0	0
snR72	14	6	5
YMR014W	796	739	686
YMR015C	1255	1096	1172
YMR016C	934	779	832
YMR017W	25	12	20
YMR018W	61	43	40
YMR019W	637	589	551
YMR020W	670	680	617
YMR021C	544	483	420
YMR022W	917	809	777
YMR023C	259	251	249
tA(AGC)M1	0	0	2
YMR024W	931	797	803
YMR025W	128	99	128
YMR026C	537	475	460
YMR027W	2025	1844	1703
YMR028W	570	510	552
YMR029C	1081	948	922
YMR030W	240	191	213
YMR031C	4357	3574	3504
YMR031W-A	0	0	2
YMR032W	608	519	505
YMR030W-A	8	3	3
YMR033W	1250	1104	1079
YMR034C	425	391	420
YMR035W	430	400	429
YMR036C	303	262	299
YMR037C	810	752	664
YMR038C	1332	1250	1262
YMR039C	1649	1359	1450
YMR040W	85	80	101
YMR041C	314	264	258
tF(GAA)M	0	1	2
YMR042W	206	191	192
YMR043W	1071	889	949
YMR044W	862	800	755
YMR045C	239	255	220
YMR046C	0	0	0
YMR046W-A	2	0	0
tH(GUG)M	4	4	6
YMR047C	1588	1429	1354
YMR048W	235	196	173
YMR049C	1505	1420	1414
tV(AAC)M1	0	0	0
YMR050C	3	4	6
YMR051C	0	0	0
tW(CCA)M	0	0	1
YMR052W	191	191	169
YMR052C-A	10	11	10
YMR053C	273	237	248
YMR054W	1366	1180	1156
YMR055C	141	142	140
YMR056C	230	203	205
YMR057C	2	3	4
YMR058W	5628	5321	6124
YMR059W	233	166	164
YMR060C	407	327	317
YMR061W	1462	1379	1396
YMR062C	3487	3285	2979
YMR063W	127	101	96
YMR064W	726	654	696
YMR065W	258	239	204
YMR066W	401	408	374
YMR067C	718	627	622
YMR068W	257	219	202
YMR069W	16	26	18
YMR070W	303	216	233
YMR071C	1120	963	1040
YMR072W	2707	2512	2540
YMR073C	388	400	344
YMR074C	636	484	500
YMR075W	546	531	482
YMR075C-A	12	7	3
YMR076C	379	365	379
tV(AAC)M2	0	1	3
YMR077C	425	313	316
YMR078C	332	303	311
YMR079W	1304	1142	1203
YMR080C	1707	1620	1574
YMR081C	2519	2030	1933
YMR082C	8	4	1
YMR083W	4981	4526	4668
YMR084W	159	115	92
YMR085W	330	223	257
YMR086W	1412	1144	1184
YMR086C-A	14	12	11
YMR087W	263	283	250
YMR088C	682	662	708
YMR089C	1325	1026	1051
YMR090W	712	655	646
YMR091C	1140	755	942
YMR092C	1975	1864	1684
YMR093W	804	695	766
YMR094W	120	92	98
YMR095C	29	29	25
YMR096W	323	322	298
YMR097C	588	508	475
YMR098C	498	496	457
tD(GUC)M	0	0	1
YMR099C	1972	1895	1741
YMR100W	395	311	313
YMR101C	15	12	13
YMR102C	1779	1646	1532
YMR103C	456	472	398
YMR104C	2880	2665	2466
YMR105C	10711	9714	9142
YMR105W-A	15	15	16
YMR106C	279	246	269
tK(CUU)M	1	4	3
YMR107W	263	224	212
YMR108W	5208	5260	4998
YMR109W	1720	1275	1412
YMR110C	2340	2139	1912
YMR111C	313	253	268
YMR112C	268	215	254
YMR113W	422	443	372
YMR114C	751	601	594
YMR115W	817	727	733
YMR116C	26215	25930	26007
snR24	12	17	10
YMR117C	170	146	132
YMR118C	8	1	5
tL(CAA)M	0	0	0
YMR119W	925	924	835
YMR119W-A	49	51	64
YMR120C	5530	5158	4518
YMR121C	791	611	666
YMR122C	9	3	8
YMR122W-A	4307	3693	3888
YMR123W	492	444	485
YMR124W	1035	763	755
YMR125W	1855	1804	1715
YMR126C	283	257	261
YMR127C	243	238	242
YMR128W	1592	1601	1551
YMR129W	1197	1045	1111
YMR130W	465	410	393
YMR131C	2332	2178	2256
YMR132C	156	163	134
YMR133W	20	13	16
YMR134W	402	366	433
YMR135C	1532	1217	1189
YMR135W-A	0	0	2
YMR136W	976	689	766
YMR137C	285	266	257
YMR138W	182	152	194
YMR139W	1079	1061	983
YMR140W	1257	955	1058
YMR141C	16	11	3
YMR142C	17784	16248	17200
YMR141W-A	0	0	0
YMR143W	9199	8314	8892
YMR144W	237	169	162
YMR145C	7757	6951	6415
YMR146C	5896	5039	5369
YMR147W	161	120	166
YMR148W	320	279	285
YMR149W	1702	1606	1563
YMR150C	474	430	432
YMR151W	34	24	25
YMR152W	882	766	751
YMR153W	754	772	718
YMR153C-A	22	13	10
YMR154C	281	247	276
YMR155W	456	438	385
YMR156C	169	123	149
YMR157C	287	246	268
YMR158W	276	222	254
tM(CAU)M	0	1	0
YMR158C-A	38	33	37
YMR158W-B	1	1	1
YMR159C	112	86	80
YMR160W	477	446	405
YMR161W	470	469	480
YMR162C	801	727	719
YMR163C	194	181	180
tV(AAC)M3	0	0	0
YMR164C	319	296	281
YMR165C	908	570	650
YMR166C	248	182	221
YMR167W	442	409	395
YMR168C	412	342	378
YMR169C	583	536	493
YMR170C	198	186	211
YMR171C	1392	1181	1216
YMR172W	487	433	420
YMR172C-A	0	0	2
YMR173W	1074	981	1032
YMR173W-A	187	173	198
YMR174C	114	96	83
YMR175W	18	21	18
YMR175W-A	3	5	2
YMR176W	563	545	555
YMR177W	354	336	340
YMR178W	973	852	830
YMR179W	144	120	147
YMR180C	505	412	446
YMR181C	1033	825	907
YMR182C	108	73	94
YMR182W-A	20	22	33
snR83	352	249	235
YMR183C	1149	1091	1001
YMR184W	275	248	246
YMR185W	557	547	573
YMR186W	20881	20082	20093
YMR187C	240	213	211
YMR188C	708	567	574
YMR189W	895	724	699
YMR190C	442	416	382
YMR191W	724	606	655
YMR192W	615	524	574
YMR193W	579	527	489
YMR193C-A	1	2	1
YMR194W	2410	2018	2095
snR11	294	251	260
YMR194C-B	247	222	193
YMR194C-A	71	79	62
YMR195W	2781	2370	2197
YMR196W	3119	2650	2561
YMR197C	1189	957	954
YMR198W	405	326	325
YMR199W	518	468	414
YMR200W	1570	1454	1366
YMR201C	342	295	319
RNA170	10	9	8
YMR202W	1881	1831	1759
YMR203W	2448	2118	2240
YMR204C	212	152	158
YMR205C	9655	9347	9076
YMR206W	352	281	278
YMR207C	496	434	447
YMR208W	858	728	699
YMR209C	460	454	412
YMR210W	721	595	602
YMR211W	535	506	479
YMR212C	1287	1187	1208
YMR213W	534	456	437
YMR214W	665	655	626
YMR215W	1436	1340	1354
YMR216C	1111	1018	942
YMR217W	8808	7565	7919
YMR218C	672	656	600
YMR219W	905	897	790
YMR220W	1186	1053	1033
YMR221C	970	924	854
YMR222C	567	436	512
YMR223W	475	422	421
YMR224C	354	348	324
YMR225C	338	317	358
YMR226C	2105	1823	1960
YMR227C	467	421	438
YMR228W	195	167	154
YMR229C	1835	1829	2109
YMR230W	6177	5685	5904
YMR230W-A	20	16	14
YMR231W	608	584	589
YMR232W	84	58	70
YMR233W	257	238	230
YMR234W	542	370	483
YMR235C	2823	2517	2560
YMR236W	819	718	747
YMR237W	1522	1459	1484
YMR238W	996	776	870
tR(UCU)M1	1	0	0
YMR239C	586	536	550
YMR240C	417	396	360
YMR241W	780	765	735
YMR242C	10296	9553	9465
YMR242W-A	0	0	1
YMR243C	2952	2940	2886
YMR244W	10	10	7
YMR244C-A	265	235	234
YMR245W	28	16	22
YMR246W	4799	4266	4564
snR86	1122	961	1080
YMR247C	825	768	766
tA(AGC)M2	0	0	0
YMR247W-A	0	0	0
YMR250W	3972	3278	3086
YMR251W	129	110	152
YMR251W-A	7292	6303	6383
YMR252C	285	263	273
YMR253C	556	473	462
YMR254C	4	1	0
YMR255W	906	688	764
YMR256C	521	510	445
YMR257C	245	191	213
YMR258C	1128	938	966
YMR259C	891	865	859
YMR260C	3891	3274	3238
YMR261C	3266	2915	2850
YMR262W	937	776	711
YMR263W	438	373	384
YMR264W	722	634	589
YMR265C	790	723	755
YMR266W	2233	2092	2044
YMR267W	753	642	668
YMR268C	215	178	178
YMR269W	407	324	347
YMR270C	570	457	441
YMR271C	221	196	195
tQ(CUG)M	0	0	0
YMR272C	1707	1646	1629
YMR272W-A	0	0	0
YMR272W-B	0	0	0
YMR273C	456	322	319
YMR274C	257	221	228
YMR275C	724	630	581
YMR276W	2023	1242	1441
YMR277W	1054	903	957
YMR278W	768	773	629
YMR279C	10	4	10
YMR280C	585	476	461
YMR281W	763	699	637
YMR282C	462	388	364
YMR283C	318	338	276
tY(GUA)M2	0	0	0
YMR284W	517	461	424
YMR285C	822	740	751
YMR286W	449	313	306
YMR287C	355	327	313
YMR288W	408	433	424
YMR289W	610	568	529
YMR290C	2133	1910	1905
YMR290W-A	2	2	1
YMR291W	1434	1164	1244
YMR292W	306	334	362
YMR293C	242	216	187
YMR294W	249	212	209
YMR294W-A	3	3	2
YMR295C	2050	1760	1801
YMR296C	1560	1304	1402
YMR297W	7266	6859	6836
YMR298W	670	646	649
YMR299C	349	329	331
YMR300C	1519	851	913
YMR301C	786	670	627
YMR302C	1252	1077	1049
YMR303C	93	62	56
YMR304W	934	857	871
YMR304C-A	257	298	285
YMR305C	4146	3739	3973
YMR306W	84	81	83
YMR306C-A	9	14	9
YMR307W	14739	14546	14061
YMR307C-A	2	0	0
YMR308C	2454	2381	2325
YMR309C	2566	2436	2511
YMR310C	580	445	507
YMR311C	2021	1769	1751
YMR312W	483	470	471
YMR313C	1091	895	951
YMR314W	2705	2393	2342
YMR315W	2464	2225	2073
YMR315W-A	6	5	6
YMR316W	2340	2010	2095
YMR316C-A	7	2	4
YMR316C-B	99	77	70
YMR317W	33	33	24
YMR318C	3024	2644	2664
YMR319C	1098	1057	1123
YMR320W	183	180	162
YMR321C	0	1	2
YMR322C	2	0	1
YMR323W	3	2	1
YMR324C	0	0	0
YMR325W	0	0	0
YMR326C	0	0	0
YBL113C	136	107	111
YBL113W-A	0	0	0
YBL112C	0	0	0
YBL111C	2	0	0
YBL109W	1	4	4
YBL108C-A	1	0	0
YBL108W	1	0	1
YBL107W-A	1	0	0
tL(UAA)B1	1	0	0
YBL107C	391	312	345
YBL106C	179	150	158
YBL105C	1571	1307	1361
YBL104C	389	331	352
YBL103C	901	751	761
YBL102W	725	618	634
YBL101C	1109	963	955
YBL100W-C	9	6	1
YBL100W-A	0	0	0
YBL100W-B	42	37	35
tF(GAA)B	0	0	0
YBL100C	1	0	0
YBL099W	5421	4719	4523
YBL098W	442	369	377
YBL097W	205	166	145
YBL096C	6	5	6
YBL095W	285	277	272
YBL094C	3	10	5
YBL093C	908	779	763
YBL092W	16625	15018	15616
YBL091C-A	254	235	229
YBL091C	2939	2673	2640
YBL090W	491	389	391
YBL089W	398	388	338
YBL088C	754	668	704
YBL087C	4244	3744	4043
YBL086C	1490	1144	1211
YBL085W	709	602	593
YBL084C	450	399	391
YBL083C	25	26	31
YBL082C	407	386	400
YBL081W	234	164	174
YBL080C	301	244	251
YBL079W	1290	1166	1167
YBL078C	442	402	428
YBL077W	1	1	1
YBL076C	9226	8860	8493
YBL075C	435	368	351
YBL074C	173	144	130
YBL073W	0	0	0
snR56	73	61	54
YBL072C	10334	9514	9635
YBL071C-B	1	5	5
YBL071W-A	224	173	214
YBL071C	1	6	2
YBL070C	2	4	5
YBL069W	932	682	806
YBL068W-A	0	0	0
YBL068W	871	831	859
YBL067C	814	733	784
YBL066C	358	283	326
YBL065W	3	2	3
YBL064C	1806	1455	1535
YBL063W	368	337	314
YBL062W	3	3	1
YBL061C	753	606	636
YBL060W	341	330	303
YBL059C-A	292	286	282
YBL059W	101	99	96
YBL058W	2595	2402	2272
YBL057C	757	682	667
YBL056W	3177	2924	3023
YBL055C	845	808	863
YBL054W	977	926	859
YBL053W	6	2	1
YBL052C	384	317	324
YBL051C	661	586	513
YBL050W	1703	1455	1536
YBL049W	43	50	40
YBL048W	18	10	18
YBL047C	2900	2474	2536
YBL046W	747	582	662
YBL045C	2728	2315	2270
YBL044W	7	2	5
YBL043W	113	97	81
YBL042C	1258	1217	1181
YBL041W	2702	2335	2298
YBL040C	1170	1045	1138
YBL039W-B	163	125	128
YBL039C	2018	2091	2038
YBL039C-A	0	0	0
YBL038W	633	470	513
YBL037W	660	553	641
YBL036C	755	628	656
YBL035C	285	177	242
YBL034C	316	311	320
YBL033C	1061	904	902
YBL032W	1427	1238	1297
YBL031W	223	178	163
YBL030C	3856	3137	3783
YBL029C-A	735	684	646
YBL029W	72	51	79
YBL028C	569	505	523
YBL027W	18590	14949	15398
YBL026W	948	794	770
YBL025W	160	155	121
YBL024W	1851	1811	1814
YBL023C	373	317	305
YBL022C	1651	1467	1477
YBL021C	230	230	225
YBL020W	814	755	700
YBL019W	305	311	285
YBL018C	130	90	91
YBL017C	2226	2156	2067
YBL016W	671	562	542
YBL015W	1477	1062	1194
tI(AAU)B	0	0	0
tG(GCC)B	0	0	0
YBL014C	313	308	356
YBL013W	33	57	45
YBL012C	0	0	0
YBL011W	1447	1071	1231
YBL010C	217	196	177
YBL009W	548	392	444
YBL008W-A	1	0	0
YBL008W	243	243	241
YBL007C	2671	2271	2271
YBL006C	809	732	678
YBL006W-A	5	7	4
YBL005W	482	477	455
YBL005W-B	355	345	301
YBL005W-A	0	0	0
tS(AGA)B	0	0	0
YBL004W	1656	1663	1719
YBL003C	5108	4288	4409
YBL002W	5485	5250	5339
YBL001C	1108	923	1041
YBR001C	1450	1260	1235
YBR002C	478	357	368
YBR003W	1085	965	923
YBR004C	1151	1055	1045
YBR005W	1343	1179	1169
YBR006W	998	928	952
YBR007C	370	329	294
YBR008C	436	310	360
YBR009C	5578	4799	5065
YBR010W	5475	4419	4912
YBR011C	10912	9998	10454
YBR012C	58	61	47
YBR012W-B	38	36	39
YBR012W-A	0	0	0
YBR013C	128	117	107
tT(AGU)B	1	0	2
YBR014C	638	594	529
YBR015C	2125	1786	1933
YBR016W	1224	879	904
YBR017C	1432	1414	1354
YBR018C	70	78	68
YBR019C	14	13	19
YBR020W	105	87	94
YBR021W	232	191	211
YBR022W	290	262	254
YBR023C	1217	1090	1022
YBR024W	415	352	368
YBR025C	7670	7532	7457
YBR026C	1372	1250	1259
YBR027C	11	13	8
YBR028C	393	375	346
YBR029C	816	657	708
YBR030W	563	531	527
YBR031W	14791	14685	14805
YBR032W	10	5	6
YBR033W	84	57	66
YBR034C	1036	855	907
YBR035C	1776	1711	1677
snR161	20	20	28
YBR036C	2398	2102	2125
YBR037C	586	507	517
YBR038W	761	583	611
YBR039W	1915	1748	1634
YBR040W	4	10	13
YBR041W	964	1062	998
YBR042C	384	392	361
YBR043C	1077	965	890
YBR044C	576	515	481
tV(UAC)B	0	0	0
YBR045C	146	137	132
YBR046C	1367	1132	1125
YBR047W	499	436	450
YBR048W	8761	6490	7597
YBR049C	1071	948	872
YBR050C	458	425	362
YBR051W	11	1	9
YBR052C	2358	2033	2062
YBR053C	1143	1121	1080
YBR054W	1264	1496	1445
YBR055C	751	667	628
tL(UAA)B2	1	0	0
YBR056W	2108	2055	1869
tQ(UUG)B	0	2	1
YBR056W-A	345	290	353
YBR056C-B	2	2	2
YBR057C	843	698	777
YBR058C	1343	1193	1168
YBR058C-A	737	601	567
YBR059C	1297	1142	967
YBR060C	455	505	490
YBR061C	590	525	577
YBR062C	510	437	470
YBR063C	253	265	227
YBR064W	0	1	1
YBR065C	251	251	235
YBR066C	760	581	664
YBR067C	3231	2774	3089
YBR068C	8959	8017	7766
YBR069C	3135	2791	2775
YBR070C	265	271	290
YBR071W	467	432	422
YBR072W	787	881	942
YBR072C-A	7	7	3
YBR073W	943	866	857
YBR074W	883	841	827
YBR076W	32	22	25
YBR076C-A	122	125	135
YBR077C	615	481	484
YBR078W	7439	6491	6866
YBR079C	6774	6101	6162
YBR080C	1830	1777	1629
YBR081C	796	796	748
tR(UCU)B	0	0	0
tD(GUC)B	0	0	0
YBR082C	4636	4272	4092
YBR083W	1205	975	974
YBR084W	3407	3451	3405
YBR084C-A	13657	12351	12481
YBR085W	63	56	69
YBR085C-A	2937	2477	2558
YBR086C	2691	2588	2291
YBR087W	809	743	746
YBR088C	371	318	360
YBR089W	0	4	3
YBR089C-A	860	701	612
YBR090C	171	181	184
YBR091C	173	164	164
YBR092C	1292	1298	1270
YBR093C	338	323	301
YBR094W	617	645	597
YBR095C	564	458	480
YBR096W	859	763	785
YBR097W	449	441	423
YBR098W	250	211	216
YBR099C	47	49	51
YBR101C	2564	2354	2362
YBR102C	593	532	518
YBR103W	510	450	459
YBR103C-A	0	0	0
YBR104W	411	458	399
YBR105C	2118	1899	1837
YBR106W	3371	3069	3175
YBR107C	277	240	252
YBR108W	597	528	538
YBR109C	2639	2494	2402
YBR109W-A	28	40	33
YBR110W	915	839	821
YBR111C	1777	1579	1663
YBR111W-A	483	427	445
YBR112C	1720	1036	1313
YBR113W	0	0	0
YBR114W	847	590	706
YBR115C	2112	2052	2080
YBR116C	3	10	7
