sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YDR014W	254	199	236	10	10	8	10	21	14
YDR014W-A	12	12	16	5	3	4	7	2	8
YDR015C	2	0	0	0	0	0	0	0	0
YDR016C	288	276	297	28	29	25	28	35	26
YDR017C	1368	1167	1208	42	41	48	84	57	75
YDR018C	125	131	127	10	5	2	8	5	7
YDR019C	1121	934	1023	78	60	74	75	61	67
YDR020C	278	272	254	18	27	24	43	26	43
YDR021W	368	326	363	57	46	59	70	52	71
YDR022C	144	113	128	41	52	67	80	64	85
tV(UAC)D	0	2	2	1	0	0	0	0	0
YDR023W	8578	8337	8225	223	216	249	326	263	322
YDR024W	15	22	17	2	1	1	2	0	5
YDR025W	7996	7239	6582	437	493	628	619	424	596
YDR026C	646	526	591	200	170	194	286	200	308
YDR027C	1116	874	881	26	30	30	53	32	65
YDR028C	1868	1645	1749	21	21	21	35	41	52
YDR029W	2	2	2	0	0	2	1	0	0
YDR030C	145	135	133	12	14	16	13	12	11
YDR031W	274	204	204	17	17	14	36	20	21
YDR032C	2466	2350	2344	31	37	40	44	33	42
YDR033W	10529	10672	10676	76	100	80	202	119	210
YDR034C	942	942	877	26	34	40	49	26	42
YDR034C-D	56	47	32	2	1	1	2	2	7
YDR034C-C	0	0	0	0	0	0	0	0	0
tL(UAA)D	0	0	0	0	0	0	0	0	0
YDR034C-A	2	1	0	0	0	0	0	0	0
tQ(UUG)D1	0	0	0	0	0	0	0	0	0
YDR034W-B	127	124	112	17	9	9	13	11	10
YDR035W	5551	4739	4742	107	107	115	200	137	168
YDR036C	828	736	742	50	34	42	40	30	40
YDR037W	13626	13226	13282	238	267	288	327	276	363
YDR038C	86	94	70	1	0	2	1	1	2
YDR039C	0	2	0	0	0	0	0	1	0
YDR040C	420	300	310	30	13	37	41	27	30
YDR041W	1071	913	867	70	76	84	82	76	69
YDR042C	43	39	32	5	3	4	1	4	3
snR47	65	69	75	0	2	0	3	3	1
YDR043C	760	567	620	74	77	68	67	54	69
YDR044W	975	889	886	37	38	33	32	22	25
YDR045C	398	357	342	18	19	26	36	20	30
YDR046C	2832	2462	2631	86	86	123	126	97	144
YDR047W	2123	1960	1867	31	29	29	53	32	48
YDR048C	2	5	2	0	1	0	0	0	1
YDR049W	724	668	648	25	30	23	59	32	39
YDR050C	33630	33920	31084	150	161	158	206	173	203
YDR051C	946	804	835	108	109	136	132	109	138
YDR052C	1030	812	855	43	35	48	42	27	57
YDR053W	0	4	1	0	1	1	1	0	0
YDR054C	1650	1384	1464	31	50	38	38	30	63
YDR055W	3142	2972	2897	77	101	102	92	95	100
YDR056C	1136	964	984	144	166	214	244	148	176
YDR057W	639	552	558	11	11	17	23	12	18
YDR058C	235	255	246	7	2	5	12	6	13
tR(UCU)D	1	0	0	0	0	0	1	0	0
tD(GUC)D	0	1	1	0	0	0	1	1	0
YDR059C	283	217	239	16	9	20	18	5	8
YDR060W	2265	2181	2257	207	201	231	288	283	311
YDR061W	600	558	593	24	32	54	49	35	63
YDR062W	2171	2008	2044	69	71	74	71	63	83
YDR063W	1006	866	870	119	129	186	242	167	193
YDR064W	14898	14261	13338	280	324	306	393	295	336
YDR065W	284	283	258	16	17	32	21	18	24
YDR066C	96	97	115	6	11	10	7	10	9
YDR067C	477	494	503	110	97	125	117	84	85
YDR068W	1093	852	943	70	75	86	120	92	102
YDR069C	695	577	653	39	32	54	61	32	46
YDR070C	500	429	410	38	55	55	63	44	50
YDR071C	2257	1956	1887	196	220	231	357	241	311
YDR072C	2351	1979	1938	61	38	53	39	28	34
YDR073W	773	630	587	191	157	205	152	118	143
YDR074W	17055	14179	14846	430	439	506	543	434	575
YDR075W	264	280	246	43	52	52	56	44	63
YDR076W	65	62	65	10	13	10	12	9	12
YDR077W	15149	12112	11176	1048	800	914	600	650	727
YDR078C	152	121	136	23	27	31	38	34	39
YDR079W	368	328	305	51	60	42	47	44	39
YDR079C-A	121	134	106	41	59	52	76	47	69
YDR080W	682	644	579	81	70	106	124	65	105
YDR081C	744	664	720	11	16	14	19	16	28
YDR082W	390	335	354	33	32	27	44	34	43
YDR083W	1164	1021	1046	159	179	194	231	204	217
YDR084C	460	443	464	48	44	59	67	40	56
YDR085C	757	626	596	67	72	84	82	46	71
YDR086C	1697	1454	1456	278	327	303	344	296	279
YDR087C	744	645	655	83	91	77	148	93	149
